Games Played,Date,Home,Opponent,Goals,Goals Against,Result,Shots on Goal,Penalties in Minutes,Power Play Goals,Power Play Opportunities,SHG,Opponent Shots on Goal,Opponent Penalties in Minutes,Opponent Power Play Goals,Opponent Power Play Opportunities,Oponent SHG,CF = Shots + Blocks + Misses,CA = Shots + Blocks + Misses Against,CF / (CF + CA),FF = Shots + Misses,FA = Shots + Misses Against,FF / (FF + FA),Faceoff Wins,Faceoff Losses,Faceoff Win Percentage,Offensive Zone Faceoffs / (Offensive Zone Faceoffs + Defensive Zone Faceoffs),Shooting % + Save %
59,2015-02-24,,Buffalo Sabres,2,4,L,47,8,0,,0,31,10,1.0,,1.0,67,30,69.1,49,26,65.3,30,20,60.0,63.2,95.0
60,2015-02-26,,Montreal Canadiens,2,5,L,27,4,0,,0,27,4,0.0,,0.0,44,43,50.6,32,32,50.0,21,22,48.8,66.7,88.3
61,2015-02-28,,New Jersey Devils,0,2,L,33,13,0,,0,19,11,0.0,,0.0,44,37,54.3,34,23,59.6,23,13,63.9,52.0,87.5
62,2015-03-01,1.0,Pittsburgh Penguins,3,5,L,25,27,1,,1,41,8,3.0,,0.0,33,46,41.8,23,32,41.8,23,25,47.9,37.0,98.1
63,2015-03-03,,Washington Capitals,3,5,L,30,40,1,,0,33,40,1.0,,0.0,42,36,53.8,29,32,47.5,28,25,52.8,73.1,93.7
64,2015-03-06,1.0,New Jersey Devils,3,2,W,24,15,0,,0,23,9,1.0,,0.0,41,47,46.6,32,34,48.5,32,20,61.5,46.0,109.7
65,2015-03-07,,Colorado Avalanche,0,4,L,44,12,0,,0,33,4,2.0,,0.0,58,25,69.9,46,21,68.7,21,28,42.9,61.4,89.5
66,2015-03-10,1.0,Carolina Hurricanes,4,3,W,32,6,3,,0,32,10,2.0,,0.0,51,53,49.0,39,39,50.0,23,33,41.1,55.1,96.0
67,2015-03-12,1.0,Detroit Red Wings,3,1,W,26,17,1,,0,42,11,1.0,,0.0,40,57,41.2,29,46,38.7,23,28,45.1,40.8,109.1
68,2015-03-13,,Edmonton Oilers,5,4,W,31,15,1,,0,35,13,3.0,,0.0,46,45,50.5,35,36,49.3,28,21,57.1,30.8,109.1
69,2015-03-15,,Carolina Hurricanes,2,3,L,24,12,1,,0,27,6,1.0,,0.0,41,35,53.9,30,29,50.8,18,24,42.9,36.7,95.2
70,2015-03-18,1.0,Edmonton Oilers,4,3,W,20,14,0,,0,47,4,1.0,,0.0,32,54,37.2,23,48,32.4,32,22,59.3,38.1,111.8
71,2015-03-19,1.0,Vancouver Canucks,6,2,W,33,9,1,,0,40,7,0.0,,0.0,50,65,43.5,36,51,41.4,33,23,58.9,48.8,111.3
72,2015-03-21,1.0,Calgary Flames,3,2,W,26,21,0,,0,40,11,1.0,,0.0,50,57,46.7,35,43,44.9,42,27,60.9,30.1,108.8
73,2015-03-24,,Anaheim Ducks,5,3,W,27,22,1,,0,40,18,1.0,,0.0,29,55,34.5,25,46,35.2,32,25,56.1,36.2,110.7
74,2015-03-27,1.0,Chicago Blackhawks,5,2,W,27,10,0,,1,33,2,0.0,,0.0,33,41,44.6,26,31,45.6,14,29,32.6,44.4,109.7
75,2015-03-28,1.0,St. Louis Blues,4,2,W,17,10,1,,0,31,4,1.0,,0.0,22,42,34.4,18,28,39.1,27,22,55.1,46.7,116.7
